,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
131,israel,143,164,23452,36,30,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
132,israel,143,164,23452,36,30,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:04:31,valid solution
133,israel,143,164,23452,36,30,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:02:04,valid solution
134,israel,143,164,23452,36,30,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
135,israel,143,164,23452,36,30,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
136,israel,143,164,23452,36,30,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:03,
137,israel,143,164,23452,36,30,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:03:09,valid solution
138,israel,143,164,23452,36,30,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
139,israel,143,164,23452,36,30,0,0,0,algo_enhanced,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:13:34,no-solution-to-validate
140,scagr7,141,180,25380,29,19,0,0,0,theorem_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
141,scagr7,141,180,25380,29,19,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
142,scagr7,141,180,25380,29,19,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:11,
143,scagr7,141,180,25380,29,19,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:05:11,valid solution
144,scagr7,141,180,25380,29,19,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:04:07,valid solution
145,scagr7,141,180,25380,29,19,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
