,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
119,scsd6,1351,295,398545,97,429,29373,38,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
120,scagr25,501,648,324648,151,157,19995,5,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:10,no-solution-to-validate,7,1
121,degen2,535,666,356310,26,131,4207,162,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:43,no-solution-to-validate,7,1
122,etamacro,689,673,463697,210,138,31253,124,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:39,no-solution-to-validate,7,1
123,finnis,615,522,321030,172,63,2473,85,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:8,no-solution-to-validate,7,1
124,standata,1076,516,555216,173,283,33442,93,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:47,no-solution-to-validate,7,1
125,pilot4,1001,682,682682,102,316,46311,80,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:18,no-solution-to-validate,7,1
126,grow22,947,881,834307,233,307,371,91,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:8:33,no-solution-to-validate,7,1
127,standgub,1185,520,616200,162,301,13396,59,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:47,no-solution-to-validate,7,1
128,fffff800,855,829,708795,234,229,16055,29,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:17,no-solution-to-validate,7,1
129,standmps,1076,732,787632,97,260,3607,16,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
130,seba,1036,1030,1067080,39,273,43856,30,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:25,no-solution-to-validate,7,1
131,scrs8,1170,863,1009710,267,400,70304,41,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:37,no-solution-to-validate,7,1
132,ship04s,1459,573,836007,179,66,17763,132,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:8:25,no-solution-to-validate,7,1
